#{"t_start": 1710501337.5015383, "env_id": "None"}
r,l,t
-54.886237,199,6.053664
5.174815,199,9.730681
21.882103,199,13.348328
-24.221107,199,17.008745
34.729465,199,20.745795
-42.516999,199,24.334291
42.233305,199,27.983302
11.391158,199,31.604001
-11.663245,199,35.20783
-26.511627,199,38.923779
33.786097,199,43.386253
-1.601777,199,47.034051
0.059984,199,50.65365
-71.342161,199,54.319136
25.894212,199,57.992988
-68.012323,199,61.608303
-4.274273,199,65.198894
-25.235767,199,68.820672
-19.542926,199,72.484791
-23.123326,199,76.180642
-9.962671,199,80.654462
-4.69932,199,84.323126
53.887912,199,87.933556
-32.20019,199,91.658774
-18.04004,199,95.252351
40.385759,199,98.848621
6.395197,199,102.474696
63.30578,199,106.156199
-17.50766,199,109.806216
-20.579027,199,113.416762
8.160664,199,117.891049
18.618246,199,121.519346
-26.482277,199,125.215694
68.944524,199,128.911254
15.545765,199,132.525761
27.487774,199,136.149573
2.289939,199,139.721861
25.595328,199,143.432202
-10.12079,199,147.049158
-46.325219,199,150.673394
3.562712,199,154.333821
1.497487,199,158.936081
-5.785743,199,162.602994
-23.712977,199,166.241965
1.652197,199,169.900802
30.993234,199,173.502692
38.644012,199,177.187515
21.393143,199,180.82396
9.2649,199,184.451362
-27.366107,199,188.05468
10.800804,199,191.812807
-26.990054,199,196.450707
0.117697,199,200.063424
-16.592089,199,203.705348
-8.134192,199,207.340645
-6.11534,199,211.074847
-9.329951,199,214.741494
-26.177353,199,218.350664
6.903717,199,222.010796
-32.467943,199,225.70182
-0.419606,199,229.376194
33.669755,199,233.974587
9.138308,199,237.592108
-6.457971,199,241.190758
-2.751519,199,244.875051
13.085207,199,248.523294
27.698508,199,252.187288
16.301826,199,255.791917
-10.856522,199,259.454813
7.36526,199,263.061882
-42.968134,199,266.758989
-21.753052,199,270.426795
31.371283,199,274.912431
-15.106715,199,278.574881
8.320547,199,282.208369
-6.928843,199,285.809094
-2.042746,199,289.411271
55.436386,199,293.034263
8.740638,199,296.682148
-29.194672,199,300.321327
-0.575538,199,303.925501
36.937186,199,307.548618
43.104819,199,312.113799
-5.288856,199,315.725132
21.660018,199,319.31349
3.201265,199,322.925279
25.936216,199,326.549337
-62.536253,199,330.203078
27.289983,199,333.820214
2.849623,199,337.435942
-30.183076,199,341.100157
31.860803,199,344.83921
4.347976,199,349.39421
-4.570955,199,353.062343
9.927883,199,356.674734
-18.378637,199,360.240281
0.32631,199,363.894017
-11.863945,199,367.493098
76.50975,199,371.098694
-19.765588,199,374.693937
36.546841,199,378.319421
20.013526,199,381.986069
5.358104,199,386.474178
50.197674,199,390.101467
-4.252385,199,393.69896
8.926471,199,397.361106
-14.8824,199,400.923944
49.658903,199,404.512795
43.732399,199,408.114597
25.252721,199,411.725434
-40.124712,199,415.397616
-1.943942,199,419.000657
33.029211,199,422.618426
27.91267,199,427.080807
42.626237,199,430.746761
0.889465,199,434.331879
37.405743,199,437.911114
29.607423,199,441.47766
64.861194,199,445.083245
20.878739,199,448.76389
56.665948,199,452.411762
-2.702044,199,455.995889
-36.038208,199,459.583821
33.641323,199,464.09477
53.381886,199,467.700032
28.45064,199,471.29849
-14.809362,199,474.927896
24.142608,199,478.585583
60.619213,199,482.250027
35.714447,199,485.902295
58.436433,199,489.528436
51.325043,199,493.138322
19.828494,199,496.902415
24.51713,199,501.482846
12.586616,199,505.117292
27.039226,199,508.79667
38.745992,199,512.400901
25.485143,199,516.101198
34.732297,199,519.849535
53.321397,199,523.502726
33.939694,199,527.143393
-0.560398,199,530.719105
12.724203,199,534.427115
45.860062,199,538.037031
22.140946,199,542.617652
49.383689,199,546.280452
55.587053,199,549.948493
-6.450012,199,553.541607
7.336321,199,557.195837
88.499965,199,560.794373
75.343682,199,564.400999
84.949902,199,568.07714
19.70227,199,571.735143
71.678101,199,575.320012
60.732256,199,579.822089
68.346603,199,583.502967
37.401933,199,587.105165
40.104356,199,590.722168
65.536866,199,594.348456
43.440702,199,597.919057
56.212992,199,601.587572
16.975252,199,605.194311
14.58641,199,608.81879
25.839933,199,612.405477
-1.176732,199,616.975284
89.438535,199,620.589748
29.085169,199,624.207331
25.112656,199,627.806736
37.436126,199,631.420357
6.398326,199,635.08183
55.791236,199,638.716685
42.668004,199,642.3334
34.097515,199,645.921964
64.95173,199,649.53399
62.755299,199,654.077347
72.964627,199,657.713947
43.57184,199,661.308659
56.369647,199,664.918313
53.195815,199,668.60355
29.542881,199,672.206119
55.770914,199,675.810289
25.244838,199,679.404173
45.972401,199,683.019786
57.706386,199,686.683316
36.691935,199,690.324058
5.129771,199,694.860601
61.141557,199,698.477258
65.740509,199,702.183267
38.038383,199,705.779359
50.529175,199,709.392981
36.077745,199,712.994892
35.668657,199,716.604298
64.073602,199,720.275424
70.282155,199,723.909744
86.696902,199,727.528921
54.803847,199,732.026025
59.513777,199,735.712457
34.418221,199,739.341596
68.106273,199,742.942479
54.855325,199,746.528243
26.649741,199,750.117039
58.900157,199,753.849437
85.151598,199,757.490469
29.650595,199,761.082782
21.645624,199,764.702891
70.653458,199,769.257128
73.258617,199,772.880515
66.632651,199,776.496085
71.875201,199,780.12203
35.399008,199,783.742266
30.293448,199,787.4108
16.57137,199,791.047836
63.78214,199,794.660295
69.873892,199,798.223149
35.793461,199,801.807838
72.681299,199,805.465308
31.673809,199,809.981123
60.116883,199,813.616838
35.902422,199,817.227381
56.732872,199,820.88099
49.444654,199,824.494594
12.369805,199,828.124359
-22.956474,199,831.70565
6.632808,199,835.297161
49.450081,199,838.964343
53.342509,199,842.566424
82.052422,199,847.080932
50.078505,199,850.683156
64.826146,199,854.382824
9.038839,199,857.999051
51.396309,199,861.603462
86.270953,199,865.214327
32.988941,199,868.816754
