#{"t_start": 1711781886.422358, "env_id": "None"}
r,l,t
-46.168432,199,5.838111
-112.731362,199,9.462687
-24.074008,199,13.077016
-38.678268,199,16.662159
-176.296728,199,20.336761
-134.224565,199,23.978652
-51.84407,199,27.563265
-82.094354,199,31.203834
-56.843648,199,34.855344
-78.696513,199,38.612012
-81.044659,199,43.510034
-29.044751,199,47.135847
-53.026582,199,50.757399
-86.206451,199,54.453509
-38.274558,199,58.094096
-100.183856,199,61.728295
-135.397142,199,65.396538
-38.669402,199,69.001492
-97.445922,199,72.675146
-57.375023,199,76.27071
-24.996785,199,80.896067
-21.62206,199,84.518171
-67.586988,199,88.212218
-110.287459,199,91.823397
-100.087418,199,95.437076
-51.691951,199,99.034532
-123.789759,199,102.641077
-76.775057,199,106.310559
-30.51281,199,109.916517
-100.147313,199,113.508072
-15.507489,199,118.243472
-71.605955,199,121.90686
-28.677972,199,125.633438
-63.295357,199,129.261028
-78.790169,199,132.895787
-107.238271,199,136.5229
-145.530273,199,140.189185
-23.222586,199,143.794993
-67.726034,199,147.409555
-35.92519,199,151.030045
-160.679665,199,154.735476
-9.842921,199,159.377239
-80.958441,199,163.029287
-63.423356,199,166.658253
-169.13857,199,170.303297
-71.792176,199,174.008577
-177.657586,199,177.647881
-50.164583,199,181.280603
-74.974806,199,184.865761
-134.502802,199,188.557756
-49.47762,199,192.173051
-177.348157,199,196.644935
18.244582,199,200.238972
-57.384381,199,203.845506
-104.04205,199,207.532362
-80.431524,199,211.127449
-63.659328,199,214.735183
-129.502119,199,218.327282
-31.306869,199,221.94594
-83.545664,199,225.654555
-56.536236,199,229.261367
-9.617381,199,233.70699
2.311494,199,237.334158
-88.767131,199,240.992263
-28.92966,199,244.602082
-6.575186,199,248.219209
-63.520902,199,251.818302
-43.625,199,255.41166
-78.008209,199,259.093892
-61.346644,199,262.701849
-41.966475,199,266.297747
-43.00041,199,269.916142
-73.453066,199,274.362895
-71.307521,199,277.964
-0.463155,199,281.547891
-58.964955,199,285.12938
-37.696719,199,288.771173
-59.903846,199,292.448086
4.146647,199,296.058766
-36.229899,199,299.709404
-49.344876,199,303.314868
-19.547622,199,306.986794
-125.727923,199,311.437304
1.805023,199,315.031166
-62.870928,199,318.617597
-11.006662,199,322.213296
31.907199,199,325.907549
-20.39622,199,329.510767
-40.037198,199,333.133925
-42.033817,199,336.745941
3.934417,199,340.422548
-58.091781,199,344.015486
-38.69129,199,348.488278
-24.604016,199,352.11714
-55.46902,199,355.70854
-49.507788,199,359.370593
11.925875,199,362.985402
-42.899983,199,366.608627
-51.059453,199,370.216189
-16.904202,199,373.845738
-15.328751,199,377.525493
-51.628445,199,381.150487
-37.914442,199,385.550414
-113.381757,199,389.187671
-9.193525,199,392.851375
-18.374118,199,396.449441
-26.450002,199,400.053308
-33.994366,199,403.635646
-50.490194,199,407.264787
-30.120737,199,410.958806
-35.976713,199,414.538669
-90.962264,199,418.128185
-15.137782,199,421.737036
-47.051405,199,426.22855
-59.962285,199,429.827293
-92.196891,199,433.417366
-73.325929,199,437.035629
-67.379629,199,440.638678
-47.770245,199,444.298899
-2.507992,199,447.926414
-39.423201,199,451.521077
-48.977001,199,455.136003
-36.220645,199,458.807587
-25.333028,199,463.299431
-4.56053,199,466.929612
-50.057276,199,470.521603
-29.928218,199,474.129723
-4.860749,199,477.793347
-34.240151,199,481.39047
-42.854811,199,485.00702
10.529477,199,488.624829
-67.530444,199,492.231389
-34.219423,199,495.937328
-54.803875,199,500.354254
-37.705382,199,503.9375
-110.294068,199,507.539209
-41.982171,199,511.185487
-56.686767,199,514.802664
-27.729997,199,518.430259
-64.00755,199,522.032896
-22.560087,199,525.621497
-15.990622,199,529.292821
-24.559355,199,532.911763
-32.617388,199,536.508956
-82.889448,199,540.99219
-15.094814,199,544.656148
-31.895306,199,548.236189
-59.474121,199,551.855414
-54.07843,199,555.439729
-14.621194,199,559.042489
-54.759943,199,562.690583
-28.069844,199,566.325671
-36.441606,199,569.934155
-16.343077,199,573.531142
-47.331715,199,578.067822
-122.830854,199,581.658147
-89.035232,199,585.254705
-3.355338,199,588.890067
-112.484553,199,592.51917
-21.207591,199,596.182439
-23.393672,199,599.764084
-44.384532,199,603.34415
-10.710098,199,606.941435
-18.184015,199,610.599419
-64.393466,199,615.054625
-54.654375,199,618.661151
-50.491283,199,622.28503
-22.39655,199,625.875012
5.607457,199,629.548459
-25.794311,199,633.156749
-12.120248,199,636.749503
-57.544699,199,640.378392
-61.145396,199,643.957105
-84.222308,199,647.611842
-74.796064,199,652.062814
-43.36614,199,655.643613
-24.575758,199,659.302486
-21.564576,199,662.979045
-20.05021,199,666.559892
-40.620479,199,670.141226
-14.133437,199,673.732473
-72.099123,199,677.321429
-110.488666,199,680.973325
-41.030404,199,684.601131
