#{"t_start": 1711806486.8382907, "env_id": "None"}
r,l,t
-0.374508,199,3.885708
-0.374508,199,7.537923
-0.374508,199,11.207148
-0.374508,199,14.832529
-0.374508,199,18.500694
-0.374508,199,22.246168
-0.374508,199,25.88518
-0.374508,199,29.513208
-0.374508,199,33.333351
-0.374508,199,37.1448
-0.374508,199,40.97869
-0.374508,199,44.705009
-0.374508,199,48.407545
-0.374508,199,52.125322
-0.374508,199,55.874384
-0.374508,199,59.616057
-0.374508,199,63.292922
-0.374508,199,66.978652
-0.374508,199,70.679129
-0.374508,199,74.378815
-0.374508,199,78.089315
-0.374508,199,81.69345
-0.374508,199,85.463503
-0.374508,199,89.198097
-0.374508,199,93.001533
-0.374508,199,96.643442
-0.374508,199,100.329753
-0.374508,199,104.083959
-0.374508,199,107.772783
-0.374508,199,111.635933
-0.374508,199,115.313503
-0.374508,199,118.965767
-0.374508,199,122.710469
-0.374508,199,126.403163
-0.374508,199,130.037006
-0.374508,199,133.742756
-0.374508,199,137.443409
-0.374508,199,141.098732
-0.374508,199,144.805225
-0.374508,199,148.677269
-0.374508,199,152.313885
-0.374508,199,155.978166
-0.374508,199,159.730286
-0.374508,199,163.366857
-0.374508,199,167.136692
-0.374508,199,170.85078
-0.374508,199,174.522648
-0.374508,199,178.17086
-0.374508,199,181.978209
-0.374508,199,185.629944
-0.374508,199,189.325004
-0.374508,199,192.969095
-0.374508,199,196.745794
-0.374508,199,200.397578
-0.374508,199,204.077561
-0.374508,199,207.708959
-0.374508,199,211.459309
-0.374508,199,215.057914
-0.374508,199,218.765757
-0.374508,199,222.415537
-0.374508,199,226.118915
-0.374508,199,229.767391
-0.374508,199,233.408259
-0.374508,199,237.121093
-0.374508,199,240.7984
-0.374508,199,244.667189
-0.374508,199,248.388271
-0.374508,199,252.139016
-0.374508,199,255.836856
-0.374508,199,259.669811
-0.374508,199,263.367939
-0.374508,199,267.086825
-0.374508,199,270.794764
-0.374508,199,274.479544
-0.374508,199,278.195438
-0.374508,199,281.909284
-0.374508,199,285.595134
-0.374508,199,289.321564
-0.374508,199,293.041309
-0.374508,199,296.70819
-0.374508,199,300.334485
-0.374508,199,303.97264
-0.374508,199,307.656906
-0.374508,199,311.271246
-0.374508,199,314.993008
-0.374508,199,318.609178
-0.374508,199,322.300288
-0.374508,199,325.971622
-0.374508,199,329.623009
-0.374508,199,333.272834
-0.374508,199,336.909705
-0.374508,199,340.617001
-0.374508,199,344.235451
-0.374508,199,347.837784
-0.374508,199,351.506299
-0.374508,199,355.280678
-0.374508,199,358.974028
-0.374508,199,362.624241
-0.374508,199,366.385186
-0.374508,199,370.160889
-0.374508,199,373.811789
-0.374508,199,377.508508
