#{"t_start": 1711713967.3744276, "env_id": "None"}
r,l,t
-58.386335,199,5.98787
-146.352301,199,9.67011
-79.562368,199,13.269022
-96.415512,199,16.88651
-81.259958,199,20.600854
-84.234894,199,24.263044
3.105462,199,27.929785
-14.871128,199,31.558239
-53.691266,199,35.197161
-25.687317,199,38.935889
-65.9195,199,43.677824
-41.336107,199,47.325442
-46.203011,199,50.982121
-74.063155,199,54.744701
-76.913153,199,58.400594
-85.109088,199,62.040322
-68.697874,199,65.685117
-64.033533,199,69.343908
-73.967884,199,73.085442
-22.499995,199,76.735737
-16.442633,199,81.371702
-139.723972,199,85.04298
-50.951848,199,88.801868
17.084718,199,92.494438
-108.723998,199,96.129697
-31.847729,199,99.788631
-49.553949,199,103.411785
-67.944475,199,107.126208
-45.697439,199,110.814963
-10.722826,199,114.475001
-99.477196,199,119.042445
-82.871555,199,122.807318
-37.413026,199,126.528694
-73.393796,199,130.186369
-187.970833,199,133.870846
-72.63954,199,137.544482
-72.184833,199,141.236685
-83.948318,199,144.885965
-78.757745,199,148.545928
-50.9916,199,152.239269
-60.930314,199,155.958214
-3.535247,199,160.528996
-43.472917,199,164.15716
-43.994093,199,167.816333
-80.011699,199,171.450981
-60.709081,199,175.122436
-41.083978,199,178.775803
-12.865888,199,182.38992
-91.569874,199,186.000913
24.64119,199,189.65019
-89.199994,199,193.359053
-23.281316,199,197.952088
-43.34194,199,201.540639
-66.990841,199,205.185128
-95.353929,199,208.858475
-34.716695,199,212.490954
-10.642327,199,216.164114
-32.751751,199,219.773925
-59.669647,199,223.376458
-55.921379,199,227.08021
-75.988631,199,230.695262
-67.431765,199,235.322143
-106.104266,199,238.970778
-35.966042,199,242.754272
-42.999931,199,246.360972
-41.69115,199,249.976582
-78.796959,199,253.591175
-126.493129,199,257.22857
-67.71045,199,260.944343
-35.997383,199,264.580596
-60.448329,199,268.197379
-57.483802,199,271.835866
-28.525606,199,276.389503
-50.602511,199,279.991634
-31.384619,199,283.649752
-18.999136,199,287.269011
-37.826664,199,290.946678
-59.075058,199,294.637901
-62.146885,199,298.325969
-38.68506,199,301.954624
-32.434739,199,305.581133
-30.598111,199,309.190334
-22.562686,199,313.814935
-39.09353,199,317.4754
-66.134121,199,321.072225
-45.019146,199,324.660364
-90.284053,199,328.389897
-75.013359,199,332.014781
-26.893784,199,335.638219
-75.075899,199,339.260205
